audit_id,task_id,source_type,gold_label_source,repo,language,statement,silver_has_defect,silver_defect_types,silver_severity,review_has_defect,review_defect_types,review_severity,label_agreement,review_notes
audit_011,issue_050,issue_statement,rule_seeded,django/django,Python,"Set default FILE_UPLOAD_PERMISSION to 0o644.
Description
	
Hello,
As far as I can see, the ​File Uploads documentation page does not mention any permission issues.
What I would like to see is a warning that in absence of explicitly configured FILE_UPLOAD_PERMISSIONS, the permissions for a file uploaded to FileSystemStorage might not be consistent depending on whether a MemoryUploadedFile or a TemporaryUploadedFile was used for temporary storage of the uploaded data (which, with the default FILE_UPLOAD_HANDLERS, in turn depends on the uploaded data size).
The tempfile.NamedTemporaryFile + os.rename sequence causes the resulting file permissions to be 0o0600 on some systems (I experience it here on CentOS 7.4.1708 and Python 3.6.5). In all probability, the implementation of Python's built-in tempfile module explicitly sets such permissions for temporary files due to security considerations.
I found mentions of this issue ​on GitHub, but did not manage to find any existing bug report in Django's bug tracker.",False,,none,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|unsupported_external_assumption,minor,,"The statement describes inconsistent file permissions but does not define the expected behavior, constraints, or desired outcome. It mixes documentation issues with system behavior and relies on assumptions about how Django should handle OS-level temporary file permissions. The requirement is ambiguous and not testable, so it is considered a defect with minor severity."
audit_012,jstvr_119,layout_change_spec,mutation_description_derived,jstvr-webpages/issta.cispa,HTML/CSS,"For responsive layout regression testing on `issta.cispa`, the page should preserve the intended layout behavior after this mutant change: Changed expression to max-width in.",True,missing_actor,minor,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|unsupported_external_assumption,minor,,"The statement is vague and does not define what the “intended layout behavior” is or how the page should appear after the mutation. It lacks constraints, expected outcomes, and testable criteria, making it ambiguous and not testable. Therefore, it is considered a defect with minor severity."
audit_013,ult_023,function_spec,test_oracle_derived,UnLeakedTestBench,Python,Function `windows_k_distinct` should Find all largest windows containing exactly k distinct elements.,True,missing_trigger|overly_broad_requirement,minor,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|unsupported_external_assumption,minor,,"The statement is ambiguous and lacks clear expected behavior. It does not define what “largest windows” means or what the function should return. Without constraints or a testable expected outcome, the requirement is incomplete and not verifiable. Therefore, it is considered a defect with minor severity."
audit_014,jstvr_052,layout_change_spec,mutation_description_derived,jstvr-webpages/rebeccamade.com,HTML/CSS,"For responsive layout regression testing on `rebeccamade.com`, the page should preserve the intended layout behavior after this mutant change: Changed term from left to none.",True,missing_actor,minor,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|unsupported_external_assumption,minor,,"The statement is vague and does not define what the “intended layout behavior” is or how the page should appear after the mutation. It lacks constraints, expected outcomes, and testable criteria, making it ambiguous and not testable. Therefore, it is considered a defect with minor severity."
audit_015,jstvr_118,layout_change_spec,mutation_description_derived,jstvr-webpages/shield.com,HTML/CSS,"For responsive layout regression testing on `shield.com`, the page should preserve the intended layout behavior after this mutant change: Added a class to element.",False,,none,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|unsupported_external_assumption,minor,,"The statement is vague and does not define what the “intended layout behavior” is or how the page should appear after the mutation. It lacks constraints, expected outcomes, and testable criteria, making it ambiguous and not testable. Therefore, it is considered a defect with minor severity."
audit_016,ult_046,function_spec,test_oracle_derived,UnLeakedTestBench,Python,Function `min_edit_script` should Finds the minimum edit script to transform the source to the target.,True,missing_trigger,minor,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|overly_broad_requirement,minor,,"The statement is ambiguous and incomplete. It does not define what an “edit script” consists of, what operations are allowed, or what the function should return. Without constraints or a testable expected outcome, the requirement is not verifiable. Therefore, it is considered a defect with minor severity."
audit_017,jstvr_093,layout_change_spec,mutation_description_derived,jstvr-webpages/getbootstrap.com,HTML/CSS,"For responsive layout regression testing on `getbootstrap.com`, the page should preserve the intended layout behavior after this mutant change: Added a class to element.",False,,none,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|overly_broad_requirement,minor,,"The statement is ambiguous and incomplete. It does not define what an “edit script” consists of, what operations are allowed, or what the function should return. Without constraints or a testable expected outcome, the requirement is not verifiable. Therefore, it is considered a defect with minor severity."
audit_018,jstvr_004,layout_change_spec,mutation_description_derived,jstvr-webpages/responsiveprocess.com,HTML/CSS,"For responsive layout regression testing on `responsiveprocess.com`, the page should preserve the intended layout behavior after this mutant change: Changed class in element <li class=""content""><a href=""#deploy"">Deploy</a> </li>.",False,,none,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|unsupported_external_assumption,minor,,"The statement is vague and does not define what the “intended layout behavior” is or how the page should appear after the mutation. It lacks constraints, expected outcomes, and testable criteria, making it ambiguous and not testable. Therefore, it is considered a defect with minor severity."
audit_019,ult_048,function_spec,test_oracle_derived,UnLeakedTestBench,Python,"Function `featurize_finance` should Converts a single monetary investment into an extracted feature vector, where the amount is bucketed based on magnitude.",False,,none,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|overly_broad_requirement,minor,,"The statement is ambiguous and incomplete. It does not define what the feature vector should include, how magnitude-based bucketing works, or what the output format is. Without constraints or a testable expected outcome, the requirement is not verifiable. Therefore, it is considered a defect with minor severity."
audit_020,issue_072,issue_statement,rule_seeded,django/django,Python,"HttpResponse doesn't handle memoryview objects
Description
	
I am trying to write a BinaryField retrieved from the database into a HttpResponse. When the database is Sqlite this works correctly, but Postgresql returns the contents of the field as a memoryview object and it seems like current Django doesn't like this combination:
from django.http import HttpResponse																	 
# String content
response = HttpResponse(""My Content"")																			
response.content																								 
# Out: b'My Content'
# This is correct
# Bytes content
response = HttpResponse(b""My Content"")																		 
response.content																								 
# Out: b'My Content'
# This is also correct
# memoryview content
response = HttpResponse(memoryview(b""My Content""))															 
response.content
# Out: b'<memory at 0x7fcc47ab2648>'
# This is not correct, I am expecting b'My Content'",True,ambiguous_term|missing_expected_outcome|missing_constraint,major,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|unsupported_external_assumption,minor,,"The issue description shows unexpected behavior when passing a memoryview to HttpResponse, but the statement does not define the expected behavior, constraints, or rules for handling memoryview objects. Without a clear expected outcome, the requirement is ambiguous and not testable. Therefore, it is considered a defect with minor severity."
audit_021,issue_056,issue_statement,rule_seeded,pylint-dev/pylint,Python,"""--notes"" option ignores note tags that are entirely punctuation
### Bug description

If a note tag specified with the `--notes` option is entirely punctuation, pylint won't report a fixme warning (W0511).

```python
# YES: yes
# ???: no
```

`pylint test.py --notes=""YES,???""` will return a fixme warning (W0511) for the first line, but not the second.

### Configuration

```ini
Default
```

### Command used

```shell
pylint test.py --notes=""YES,???""
```

### Pylint output

```shell
************* Module test
test.py:1:1: W0511: YES: yes (fixme)
```

### Expected behavior

```
************* Module test
test.py:1:1: W0511: YES: yes (fixme)
test.py:2:1: W0511: ???: no (fixme)
```

### Pylint version

```shell
pylint 2.12.2
astroid 2.9.0
Python 3.10.2 (main, Feb  2 2022, 05:51:25) [Clang 13.0.0 (clang-1300.0.29.3)]
```

### OS / Environment

macOS 11.6.1

### Additional dependencies

_No response_",False,,none,TRUE,ambiguous_term|missing_actor|missing_expected_outcome|missing_constraint|not_testable|unsupported_external_assumption,minor,,"The issue describes unexpected behavior when using punctuation-only note tags, but the statement does not define the expected rule, constraints, or responsible component. Without a clear expected outcome or specification for how punctuation-only tags should be handled, the requirement is ambiguous and not testable. Therefore, it is considered a defect with minor severity."
audit_022,syn_033,synthetic_defect,synthetic_injected,mrdoob/three.js,JavaScript,"Given a mesh with LODs, when the user moves their head beyond the threshold distance of an LOD boundary, then the LOD should appear. The behavior should work properly in all relevant cases.",True,ambiguous_term,minor,TRUE,ambiguous_term|missing_trigger|missing_expected_outcome|missing_constraint|not_testable|unsupported_external_assumption,minor,,"The statement is ambiguous and lacks clear expected behavior. It does not define the threshold distance, the LOD switching rules, or how head movement is detected. Without constraints or measurable outcomes, the requirement is not testable. Therefore, it is considered a defect with minor severity."
audit_023,ult_015,function_spec,test_oracle_derived,UnLeakedTestBench,Python,Function `needleman_wunsch0` should NeedlemanWunsch algorithm for sequience alignment with match score equal +1.,False,,none,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|overly_broad_requirement,minor,,"The statement is incomplete and ambiguous. It does not define the scoring scheme beyond match = +1, nor does it specify gap penalties, mismatch scores, or the expected output format. Without these details, the requirement is not testable and cannot be validated. Therefore, it is considered a defect with minor severity."
audit_024,ult_005,function_spec,test_oracle_derived,UnLeakedTestBench,Python,Function `_remove_strings` should Remove strings in code.,True,missing_trigger,minor,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|overly_broad_requirement,minor,,"The requirement is vague and incomplete. It does not define what counts as a “string,” what the function should output, or how to handle edge cases. Without clear expected behavior or constraints, the requirement is not testable. Therefore, it is considered a defect with minor severity."
audit_025,jstvr_026,layout_change_spec,mutation_description_derived,jstvr-webpages/rebeccamade.com,HTML/CSS,"For responsive layout regression testing on `rebeccamade.com`, the page should preserve the intended layout behavior after this mutant change: Added a class to element.",False,,none,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|unsupported_external_assumption,minor,,"The statement is vague and does not define what the “intended layout behavior” is or how the page should appear after the mutation. It lacks constraints, expected outcomes, and testable criteria, making it ambiguous and not testable. Therefore, it is considered a defect with minor severity."
audit_026,ac_063,acceptance_criterion,rule_seeded,huggingface/transformers,Python,"Given a GPT-2 model, when mixed precision training is enabled and the attention computation is upcasted, then the model should not experience numerical instability.",False,,none,TRUE,ambiguous_term|missing_trigger|missing_expected_outcome|missing_constraint|not_testable|unsupported_external_assumption,minor,,"The statement is vague and lacks measurable criteria. It does not define what counts as numerical instability, how mixed precision and upcasting are configured, or what stable behavior should look like. Without constraints or testable outcomes, the requirement is ambiguous and not verifiable. Therefore, it is considered a defect with minor severity."
audit_027,ult_176,function_spec,test_oracle_derived,UnLeakedTestBench,Python,Function `rsplit_longest_suffix` should Splitout longest matching suffix from uniform name string.,True,missing_trigger,minor,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|overly_broad_requirement,minor,,"The requirement is vague and incomplete. It does not define what counts as a “uniform name string,” how suffix matching works, or what the function should output. Without clear rules or expected outcomes, the requirement is not testable. Therefore, it is considered a defect with minor severity."
audit_028,ult_177,function_spec,test_oracle_derived,UnLeakedTestBench,Python,Function `compute_right` should Precompute the prefix maximal content`k` subwords of `word`.,True,missing_trigger,minor,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|overly_broad_requirement,minor,,"The requirement is vague and incomplete. It does not define what “prefix maximal content k subwords” means, how k is used, or what the function should output. Without clear definitions, constraints, or expected outcomes, the requirement is not testable. Therefore, it is considered a defect with minor severity."
audit_029,issue_080,issue_statement,rule_seeded,DiskUsage,Android,"description: An app (com.google.android.diskusage) for visualizing disk usage, letting users browse storage volumes, search within them, and manage rescanning, rendering mode, and app information.

feature 1: Visualize and explore storage volumes through an interactive usage view.
sub-feature 1-1: When opening the app, the user selects the ""Storage card"" entry identified by resource-id ""android:id/text1"" and text ""Storage card"" to open its contents; the interactive visualization loads in the main content area ""android:id/content"", and tapping within this content surface (""android:id/content"") drills down or reveals details for the tapped region, confirming touch-responsive navigation within the storage hierarchy.

feature 2: Quickly search within the current storage view to find space-consuming items.
sub-feature 2-1: After tapping the ""Storage card"" entry (""android:id/text1""), the user opens search via the button ""android:id/search_button"", focuses the query field ""android:id/search_src_text"", and enters the term ""Apps"" into ""android:id/search_src_text"" to trigger in-app filtering that narrows the current ""Storage card"" view to items matching “Apps.”

feature 3: Control rescanning
...[truncated]",False,,none,TRUE,ambiguous_term|missing_actor|missing_trigger|missing_expected_outcome|missing_constraint|not_testable|overly_broad_requirement,minor,,"The statement describes multiple features and UI interactions but does not identify a specific issue, expected behavior, or failure condition. It lacks a clear trigger, actor, and testable outcome. As written, it is ambiguous, overly broad, and not testable. Therefore, it is considered a defect with minor severity."
audit_030,syn_053,synthetic_defect,synthetic_injected,huggingface/transformers,Python,"The feature should be high quality, intuitive, and reliable.",True,not_testable,major,TRUE,ambiguous_term|missing_actor|missing_expected_outcome|missing_constraint|not_testable|overly_broad_requirement,minor,,"The statement is entirely subjective and lacks measurable criteria. Terms like “high quality,” “intuitive,” and “reliable” are undefined and cannot be tested. No actor, constraints, or expected outcomes are provided. Therefore, the requirement is ambiguous, overly broad, and not testable, and is considered a defect with minor severity."
audit_031,llmorph_004,testing_rule_spec,rule_spec_derived,LLMorpheus,JavaScript/TypeScript,"For JavaScript mutation testing, when a code line matches `<Expr> || {} -> <Expr>`, the mutator should replace binary || expression with its first operand if the second operand is an empty object literal. The rule applies only to ""||""-expressions. The rewritten expression should not contain ""{}"" anymore.",True,missing_actor|inconsistent_condition,major,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|overly_broad_requirement,minor,,"The rule description is incomplete. It does not define how <Expr> is parsed, how the mutator identifies an empty object literal, or how the rewritten expression should be formatted. Without clear constraints or expected outcomes, the rule is ambiguous and not testable. Therefore, it is considered a defect with minor severity."
audit_032,syn_085,synthetic_defect,synthetic_injected,django/django,Python,"The feature should be high quality, intuitive, and reliable.",True,not_testable,major,TRUE,ambiguous_term|missing_actor|missing_expected_outcome|missing_constraint|not_testable|overly_broad_requirement,minor,,"The requirement is entirely subjective and lacks measurable criteria. Words like “high quality,” “intuitive,” and “reliable” are undefined, and the statement provides no actor, constraints, or expected outcomes. As written, it is ambiguous, overly broad, and not testable. Therefore, it is considered a defect with minor severity."
audit_033,ac_013,acceptance_criterion,rule_seeded,CityZen,Android,Opening the 'Fast food' category by tapping the item with resource-id 'com.cityzen.cityzen:id/poi_title' and text 'Fast food' reveals relevant fast food points of interest.,True,missing_actor|missing_expected_outcome|not_testable,major,TRUE,ambiguous_term|missing_trigger|missing_expected_outcome|missing_constraint|not_testable|unsupported_external_assumption,minor,,"The statement is vague and lacks measurable expected outcomes. It does not specify what UI elements should appear after tapping the 'Fast food' item, nor does it define constraints or triggers. Without clear expected behavior, the requirement is ambiguous and not testable. Therefore, it is considered a defect with minor severity."
audit_034,syn_043,synthetic_defect,synthetic_injected,huggingface/transformers,Python,"Given a GPT-2 model, when mixed precision training is enabled and the attention computation is upcasted, then the behavior is completed.",True,missing_expected_outcome,major,TRUE,ambiguous_term|missing_trigger|missing_expected_outcome|missing_constraint|not_testable|overly_broad_requirement,minor,,"The statement is vague and non‑functional. The phrase “the behavior is completed” provides no meaningful expected outcome, making the requirement untestable. It lacks constraints, triggers, and measurable results. Therefore, it is considered a defect with minor severity."
audit_035,ult_112,function_spec,test_oracle_derived,UnLeakedTestBench,Python,Function `getLCCoeff` should Label generating LC coefficients for various rates and memory sizes.,True,missing_trigger|missing_constraint|overly_broad_requirement,major,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|overly_broad_requirement,minor,,"The requirement is vague and incomplete. It does not define LC coefficients, how they should be generated, what inputs are expected, or what the function should output. Without clear definitions, constraints, or expected outcomes, the requirement is not testable. Therefore, it is considered a defect with minor severity."
audit_036,syn_015,synthetic_defect,synthetic_injected,django/django,Python,"Given a Django project with the default settings, when a small file is uploaded using FileSystemStorage without explicitly configuring FILE_UPLOAD_PERMISSIONS, then the permissions of the uploaded file should be set to 0o644. The same option should be enabled and disabled by default.",True,inconsistent_condition,major,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|inconsistent_condition|unsupported_external_assumption,minor,,"The requirement contains a contradiction: it states that the option should be both enabled and disabled by default. It also lacks clarity about expected behavior, constraints, and environment-specific factors that influence file permissions. Because of the inconsistency and missing details, the requirement is ambiguous and not testable. Therefore, it is considered a defect with minor severity."
audit_037,ac_088,acceptance_criterion,rule_seeded,coder/code-server,TypeScript,"Given a code-server instance configured with the `--socket` option, when setting permissions to `0770`, then the socket should be created with the specified permissions and ownership.",False,,none,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|unsupported_external_assumption,minor,,"The requirement is incomplete. It does not define the expected owner/group of the socket, nor does it specify how the environment affects permission creation. Without explicit expected outcomes, the acceptance criterion is ambiguous and not testable. Therefore, it is considered a defect with minor severity."
audit_038,issue_014,issue_statement,rule_seeded,mrdoob/three.js,JavaScript,"GLTFLoader: Morph targets only work for matching accessor types
glTF files assume that morph target data is specified as relative adjustments, and three.js assumes that the data in morph target buffers is absolute.

This leads to a few obvious memory/performance caveats - the morph target data needs to be duplicated and modified during import - but also leads to inability to use a very narrow type for position deltas.

For example, when data is quantized with gltfpack (which makes the glTF files technically invalid right now but this will change soon: https://github.com/KhronosGroup/glTF/pull/1673), the positions typically use UInt16 and morph target deltas use Int16. However, very frequently the morph target delta range is small enough to fit in Int8 - because three.js attempts to reconstruct the absolute position however, attempting to encode Int8 deltas leads to decoding issues on three.js side. Babylon.JS handles files like this perfectly.

I'd like to fix this - the obvious tactical fix is changing the morph target attribute cloning to assume the type of the base attribute, not morph target. However, I'd like to check - what are the thoughts of fixing this by adding support to
...[truncated]",True,ambiguous_term|missing_actor,minor,TRUE,ambiguous_term|missing_actor|missing_trigger|missing_expected_outcome|missing_constraint|not_testable|overly_broad_requirement,minor,,"The statement reads like a long-form discussion rather than a clear issue description. It mixes background information, examples, and speculative fixes, but does not define a specific expected behavior or a concrete failure condition. Without a clear trigger, actor, or expected outcome, the issue is ambiguous and not testable. Therefore, it is considered a defect with minor severity."
audit_039,ac_096,acceptance_criterion,rule_seeded,apache/dubbo,Java,"Given a MetadataServiceExporter instance, when no metadata protocol port is specified and no user-specified application protocol is configured, then the default protocol should be retrieved from the user environment.",False,,none,TRUE,ambiguous_term|missing_actor|missing_expected_outcome|missing_constraint|not_testable|unsupported_external_assumption,minor,,"The requirement is vague and incomplete. It does not define what the “default protocol” is, where it should be retrieved from, or what the expected value should be. The actor and constraints are missing, and the statement is not testable as written. Therefore, it is considered a defect with minor severity."
audit_040,ac_072,acceptance_criterion,rule_seeded,huggingface/transformers,Python,"Given a `Trainer` instance, when the `compute_metrics` function is set and evaluation begins, then the logits are processed by the `preprocess_logits_for_metrics` function before being cached for metric computation.",True,missing_expected_outcome,major,TRUE,ambiguous_term|missing_trigger|missing_expected_outcome|missing_constraint|not_testable|unsupported_external_assumption,minor,,"The requirement is incomplete. It does not define what “processed” means, what the expected output of `preprocess_logits_for_metrics` should be, or when the preprocessing occurs in the evaluation flow. Without clear expected outcomes or constraints, the acceptance criterion is ambiguous and not testable. Therefore, it is considered a defect with minor severity."
audit_041,syn_039,synthetic_defect,synthetic_injected,mrdoob/three.js,JavaScript,"Given a GLTF file with morph targets, when the morph target data is specified as relative adjustments and three.js assumes absolute values, then the mesh should have a flag to indicate whether morph targets are deltas. The same option should be enabled and disabled by default.",True,inconsistent_condition,major,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|inconsistent_condition|unsupported_external_assumption,minor,,"The requirement contains a contradiction: it states that the morph-target flag should be both enabled and disabled by default. It also fails to define the expected behavior of the flag or how it should be implemented. Without clear outcomes or constraints, the statement is ambiguous and not testable. Therefore, it is considered a defect with minor severity."
audit_042,ac_022,acceptance_criterion,rule_seeded,django/django,Python,"Given a Django project with the default settings, when a file is uploaded using FileSystemStorage without explicitly configuring FILE_UPLOAD_PERMISSIONS, then the permissions of the uploaded file should be set to 0o644.",False,,none,TRUE,ambiguous_term|missing_constraint|not_testable|unsupported_external_assumption,minor,,"The requirement oversimplifies Django’s behavior. File permissions depend on OS-level umask and environment, so stating that uploaded files “should be set to 0o644” under default settings is not universally correct. Because the expected outcome depends on unspecified constraints, the statement is ambiguous and not testable. Therefore, it is considered a defect with minor severity."
audit_043,syn_093,synthetic_defect,synthetic_injected,apache/dubbo,Java,"The feature should be high quality, intuitive, and reliable.",True,not_testable,major,TRUE,ambiguous_term|missing_actor|missing_expected_outcome|missing_constraint|not_testable|overly_broad_requirement,minor,,"The requirement is entirely subjective and lacks measurable criteria. Terms like “high quality,” “intuitive,” and “reliable” are undefined, and the statement provides no actor, constraints, or expected outcomes. As written, it is ambiguous, overly broad, and not testable. Therefore, it is considered a defect with minor severity."
audit_044,ac_084,acceptance_criterion,rule_seeded,coder/code-server,TypeScript,"Given a user has installed the `code-server` package, when they run it with the default configuration, then the server should support basic HTTP requests such as GET and POST.",True,overly_broad_requirement,minor,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|overly_broad_requirement,minor,,"The requirement is underspecified. It does not define what “support” means for GET and POST requests, nor does it specify expected endpoints, responses, or constraints. Because the expected behavior is unclear and environment-dependent, the acceptance criterion is ambiguous and not testable. Therefore, it is considered a defect with minor severity."
