task_id,origin_id,source_type,repo,language,statement,gold_has_defect,gold_defect_types,gold_severity,gold_label_source
issue_011,poly_apache__rocketmq-5706,issue_statement,apache/rocketmq,Java,"Support DLedger Controller Snapshot
# Background

The DLedger Controller mode was launched after RocketMQ 5.0, which can provide the function of automatic master-slave switching.

The principle is as follows:

![img](https://camo.githubusercontent.com/85dc7386e8030f9b921267269bb9dcd5a2d9805609d7c8431e2bc2c97002cc57/68747470733a2f2f73312e617831782e636f6d2f323032322f30372f30312f6a51726e38732e706e67)

DLedger Controller is a strongly consistent metadata center built on DLedger (Raft), which stores metadata related to master selection.

However, because DLedger did not provide the ability of Snapshot before, when the Controller restarts, it needs to replay all the logs in DLedger to restore the state before Shutdown. Restarting all logs can cause the restart to take a lot of time, especially when there are a lot of logs.

Recently, we added the Snapshot capability to DLedger, thanks to @tsunghanjacktsai for his contribution.

The basic principle is as follows: For example, for the log before LogIndex = 6, DLedger will create a snapshot for it. This Snapshot contains the state machine state before LogIndex = 6. In this way, when restarting, we only need to load this snapshot, and only r
...[truncated]",False,,none,rule_seeded
issue_012,poly_apache__rocketmq-6522,issue_statement,apache/rocketmq,Java,"Enhance the proxy context in the remoting protocol server
ProxyContext  lacks client related information such as clientId Language clientVersion etc.
Plan to add the relevant client information into the channel attr when client heartbeat in proxy.",True,ambiguous_term|missing_expected_outcome|not_testable|overly_broad_requirement,major,rule_seeded
issue_013,poly_mrdoob__three.js-14566,issue_statement,mrdoob/three.js,JavaScript,"LOD: Consider adding hysteresis option.
With the LOD systems in Unreal, Unity, and Blender, LODs have a threshold that offsets the distance where the LOD appears from the distance where it disappears, to reduce flickering from small movements (e.g. head movement with roomscale VR). From [Unreal docs](https://docs.unrealengine.com/en-us/Engine/Animation/Persona/MeshDetails):

> **LOD Hysteresis** | Used to avoid ""flickering"" when on LOD boundry. Only take into account when moving from complex to simple.",True,missing_actor|missing_expected_outcome|not_testable,major,rule_seeded
issue_014,poly_mrdoob__three.js-17649,issue_statement,mrdoob/three.js,JavaScript,"GLTFLoader: Morph targets only work for matching accessor types
glTF files assume that morph target data is specified as relative adjustments, and three.js assumes that the data in morph target buffers is absolute.

This leads to a few obvious memory/performance caveats - the morph target data needs to be duplicated and modified during import - but also leads to inability to use a very narrow type for position deltas.

For example, when data is quantized with gltfpack (which makes the glTF files technically invalid right now but this will change soon: https://github.com/KhronosGroup/glTF/pull/1673), the positions typically use UInt16 and morph target deltas use Int16. However, very frequently the morph target delta range is small enough to fit in Int8 - because three.js attempts to reconstruct the absolute position however, attempting to encode Int8 deltas leads to decoding issues on three.js side. Babylon.JS handles files like this perfectly.

I'd like to fix this - the obvious tactical fix is changing the morph target attribute cloning to assume the type of the base attribute, not morph target. However, I'd like to check - what are the thoughts of fixing this by adding support to
...[truncated]",True,ambiguous_term|missing_actor,minor,rule_seeded
issue_015,poly_mrdoob__three.js-20478,issue_statement,mrdoob/three.js,JavaScript,"Object3D: Add removeAll or clear.
I'd like to have removeAll or clear method in Object3D.

```
	remove: function ( object ) {

		if ( arguments.length > 1 ) {

			for ( let i = 0; i < arguments.length; i ++ ) {

				this.remove( arguments[ i ] );

			}

			return this;

		}

		const index = this.children.indexOf( object );

		if ( index !== - 1 ) {

			object.parent = null;
			this.children.splice( index, 1 );

			object.dispatchEvent( _removedEvent );

		}

		return this;

	}
```

`remove` find child within children with `indexOf` and remove it using `splice` which becomes bottleneck when there are a lot of children objects and I need to remove them all which I am experiencing now.

So i suggest to add `removeAll` method.

```
	removeAll: function ( ) {

		for ( let i = 0; i < this.children.length; i ++ ) {

			let object = this.children[i];

			object.parent = null;

			object.dispatchEvent( _removedEvent );

		}

		this.children = [];

		return this;

	}
```",False,,none,rule_seeded
issue_016,poly_mrdoob__three.js-21532,issue_statement,mrdoob/three.js,JavaScript,"Feature: Quaternion.slerpQuaternions()
It's already possible to easily interpolate between two quaternions by using the static helper, but the Vector classes already implement a .lerpVectors, would it make sense to also have the same API for quaternions?

```js
const q = new Quaternion()
q.slerpQuaternions(quatA, quatB, 0.6)
```

Please understand that this is just to keep the API predictable for end users",True,missing_trigger|missing_expected_outcome|missing_constraint,major,rule_seeded
issue_017,poly_mrdoob__three.js-21826,issue_statement,mrdoob/three.js,JavaScript,"can we have Object3D.remove() with no arguments remove an object itself?
so that we can write `light.remove();` instead of `light.parent.remove(light);` ?

right now .remove() does not seem to be doing anything so there will be no conflict.",True,missing_actor|missing_expected_outcome|missing_constraint|not_testable,major,rule_seeded
issue_018,poly_mrdoob__three.js-23596,issue_statement,mrdoob/three.js,JavaScript,"Feature request: Add `.fromHalfFloat()` to DataUtils.
`DataUtils` already has `.toHalfFloat( val )`.

`DataUtils.fromHalfFloat( half )` would be useful for evaluating the dynamic range of HDR textures in .exr format, for example.",True,missing_trigger|missing_expected_outcome|not_testable,major,rule_seeded
issue_019,poly_mrdoob__three.js-23796,issue_statement,mrdoob/three.js,JavaScript,"RFC: Making Euler, Color, Quaternions iterable - and consequently spreadable - like Vector*
Vectors are iterable, so they can be spread to an array like `[...vector]`. The same isn't true for Euler, and users ** cough cough me right now ** might expect consistent behaviour.

I was surprised to see this missing, so I'm wondering wether there is a reason we wouldn't make them behave in the same way. 
I know order might be one reason, but then again users could order before spreading.

The code itself would just be the few lines to add the feature and a test, shouldn't take a long time, I'm more interested in why this could be a bad idea.

Have a great weekend and hugs all around!

EDIT: 
- Quaternion
- Color

Are also candidates for this",True,missing_actor|missing_expected_outcome,major,rule_seeded
issue_020,poly_prettier__prettier-10109,issue_statement,prettier/prettier,JavaScript,"Trailing commas for type parameters in TypeScript
**Prettier 1.9.2**

~~I would paste a playground link but no TypeScript support ;)~~ I'm silly: [Playground link](https://prettier.io/playground/#N4Igxg9gdgLgprEAuEMCeAHOACAKnAWwwBsBDeAIQEsoATGgc2wF4AdKbT7AH2wEEMJOPiJlKNelAbsuPbBVJRFpESXJxqdRjK68AwqQBOhiDFVi4AOQi047ANzt26LNgCyNuMWu2WOzrwCQh623p7+cgpKSiFePnYcutgGxqaxYbYOTlBwAB4YEIYw2JBQAM7FYIZw6gDKEACuhmBWngBiJgTm6pqSTMzYADwRuN3iWlLYefB0ZXiEauN9LPOiPRKMADQj9U0t8VO5M7Rzu82tvgNn++FQAHwAFPBrS4xIeGMaG1IAlCx32GAEQA9AAqbAAOih2FBwPYAF97CBNiAIBgYFRoGVkKAjCYAO4ABSMCGxKFIADcIFRaMiQKQKsgAGakYhlOAogBGhlIYAA1nAYLUMLzGMgYIYGhyQLQIGBmaz2SiaOyioSeQwCKQFWzpQArMq5Cg8-mC2qkAhwAAyNDgOqVqIaMAwToATPbpSLDKrkKhMHAylUqOi6RhDDQYAB1GkwAAWyAAHAAGFFhiDsyM8jC+sMBuCGCl2lHVACODSo1XVpE12qQLN1KPZBCo4sl0rKjGIcAAig1THa64rpTBSJzo7Q48hXSiJaQqMRGHoIAQtb6oNAiyAGuzcKOyfX2fD4UA)
```sh
--parser typescript
```

**Input:**
```typescript
type TemplateBinding =
    | AppleTemplateBinding
    | BananaTemplateBinding
    | CarrotTemplateNode
;

type ModelNode =
    | AppleModelNode
    | BananaModelNode
    | CarrotModelNode
;

export const createSourceNodeFromTemplateBinding = <
    TTemplateBinding extends TemplateBinding = Templ
...[truncated]",True,missing_actor,minor,rule_seeded
issue_021,poly_prettier__prettier-10910,issue_statement,prettier/prettier,JavaScript,"Proposal: Add `__babel-estree` parser
The [`@babel/eslint-parser`](https://github.com/babel/babel/tree/main/eslint/babel-eslint-parser) generate a different shape of AST.

I propose add this private parser to valid that we can also print this AST, so maybe we can really skip parsing in `eslint-plugin-pretter` someday.

I think this won't be hard, we only need enable [`estree` plugin](https://github.com/babel/babel/blob/c30039029ae42e39b897e04fe7dbbd3255f88e24/packages/babel-parser/src/plugins/estree.js).

WDYT?",True,missing_actor|missing_trigger,minor,rule_seeded
issue_022,poly_prettier__prettier-14108,issue_statement,prettier/prettier,JavaScript,"`getFileInfo()` should try to resolve config by default
[`getFileInfo()`](https://prettier.io/docs/en/api.html#prettiergetfileinfofilepath--options) returns `ignored` and `inferredParser`, it accepts a `resolveConfig` option, it's default to `false`, I think it's more reasonable to set default to `true`, or even remove this option and always to `true`.

Ref: https://github.com/prettier/prettier/pull/8551#issuecomment-645225864",True,missing_trigger,minor,rule_seeded
issue_023,poly_prettier__prettier-14317,issue_statement,prettier/prettier,JavaScript,"Utility functions requests
Is there any reason why `getNextNonSpaceNonCommentCharacterIndex` is in the public API but `getNextNonSpaceNonCommentCharacter` isn't? it's a one liner we could do without in [prettier-plugin-solidity](https://github.com/prettier-solidity/prettier-plugin-solidity).

Also, `hasNodeIgnoreComment` feels like something that every plugin could benefit if they decide to support comments containing `prettier-ignore`.",True,missing_expected_outcome|missing_constraint,major,rule_seeded
issue_024,poly_prettier__prettier-16765,issue_statement,prettier/prettier,JavaScript,"Prettier breaks XHTML documents by incorrectly lowercasing DOCTYPE
The change in https://github.com/prettier/prettier/pull/7391 caused prettier to break my XHTML documents by lowercasing the DOCTYPE, resulting in XML well-formedness errors for my use case.

DOCTYPE is case-sensitive in XML contexts. I cannot wrap it with prettier ignore comments as that would produce invalid XML.
Proposal: Add `--doctype-case` option for customizable DOCTYPE casing
<!--

BEFORE SUBMITTING AN ISSUE:

1.  Search for your issue on GitHub: https://github.com/prettier/prettier/issues
    A large number of opened issues are duplicates of existing issues.
    If someone has already opened an issue for what you are experiencing,
    you do not need to open a new issue — please add a 👍 reaction to the
    existing issue instead.

2.  We get a lot of requests for adding options, but Prettier is
    built on the principle of being opinionated about code formatting.
    This means we add options only in the case of strict technical necessity.
    Find out more: https://prettier.io/docs/en/option-philosophy.html

Don't fill the form below manually! Let a program create a report for you:

1. Go to https://pretti
...[truncated]",True,missing_actor,minor,rule_seeded
issue_025,poly_huggingface__transformers-13573,issue_statement,huggingface/transformers,Python,"Upcasting of attention computation for reliable pretraining of GPT-2 models
# 🚀 Feature request

In a recent [talk](https://youtu.be/AYPOzc50PHw?t=3662) about pretraining language models as part of the [Mistral](https://github.com/stanford-crfm/mistral/) project @siddk mentioned that in order to achieve stable pretraining a slight modification in the GPT-2 code is necessary. The issue is a numerical instability when training with mixed precision in the attention mechanism which can be solved by upcasting the attention computation (see [here](https://github.com/stanford-crfm/mistral/blob/53ebb290e55fe367dcaebb54ab63de4a137802db/src/models/mistral_gpt2.py#L324)).

## Motivation

Enable reliable pretraining of GPT-2 models.

## Your contribution

I can create a PR if adding this is an option.

cc @thomwolf",True,missing_constraint,minor,rule_seeded
issue_026,poly_huggingface__transformers-13989,issue_statement,huggingface/transformers,Python,"The new impl for CONFIG_MAPPING prevents users from adding any custom models
## Environment info
<!-- You can run the command `transformers-cli env` and copy-and-paste its output below.
     Don't forget to fill out the missing fields in that output! -->

- `transformers` version: 4.10+
- Platform: Ubuntu 18.04
- Python version: 3.7.11
- PyTorch version (GPU?): N/A
- Tensorflow version (GPU?): N/A
- Using GPU in script?: N/A
- Using distributed or parallel set-up in script?: No.

### Who can help
<!-- Your issue will be replied to more quickly if you can figure out the right person to tag with @
 If you know how to use git blame, that is the easiest way, otherwise, here is a rough guide of **who to tag**.
 Please tag fewer than 3 people.
 -->

## Information

Model I am using (Bert, XLNet ...): _Custom_ model

The problem arises when using:
* [ ] the official example scripts: (give details below)
* [x] my own modified scripts: (give details below)

The tasks I am working on is:
* [x] an official GLUE/SQUaD task: (give the name)
* [ ] my own task or dataset: (give details below)

## To reproduce

See: https://github.com/huggingface/transformers/blob/010965dcde8ce9526f6a7e6e2c3f36276
...[truncated]",True,ambiguous_term|inconsistent_condition,major,rule_seeded
issue_027,poly_huggingface__transformers-15473,issue_statement,huggingface/transformers,Python,"Preprocess/transform logits before caching them for computing metrics.
# 🚀 Feature request

I think it'd be nice to have a simple way to preprocess the logits before caching them for computing metrics.

## Motivation

When the `Trainer` `compute_metrics` are set, during evaluation the logits are accumulated (some in GPU memory, for `args.eval_accumulation_steps` steps; all in RAM). For some models, it will almost certainly lead to out of memory problems.

For instance, for a language model, this means storing in RAM a tensor of size [eval ds size, sequence length, vocab size].

In many cases, what is needed to compute metrics is just some reduction of the logits. For example: `logits.argmax(dim=-1)`.

I know I can subclass `Trainer` for this and redefine `evaluation_loop`, just wanted to know if you'd consider a more generic solution that prevents everyone that needs the feature from duplicating the rest of the code of `evaluation_loop`. I've seen more people running into the same issue. For instance:

https://github.com/huggingface/transformers/issues/8476
https://discuss.huggingface.co/t/cuda-out-of-memory-when-using-trainer-with-compute-metrics/2941
https://discuss.huggingface.c
...[truncated]",True,missing_constraint,minor,rule_seeded
issue_028,poly_huggingface__transformers-15795,issue_statement,huggingface/transformers,Python,"Add compatibility for Postponed Evaluation of Annotations (PEP 563)
Hello,

The code says that it will add compatibility for Postponed Evaluation of Annotations ([PEP 563](https://www.python.org/dev/peps/pep-0563/)) when Python 3.9 is released (which already happened on 2020.10.5). Is there any plan to complete this?

https://github.com/huggingface/transformers/blob/2c2a31ffbcfe03339b1721348781aac4fc05bc5e/src/transformers/hf_argparser.py#L85-L90",True,missing_actor|missing_expected_outcome|missing_constraint|not_testable|overly_broad_requirement,major,rule_seeded
issue_029,poly_huggingface__transformers-15831,issue_statement,huggingface/transformers,Python,"Why is Marian to Torch converter hardcoded for tied vocab ?
I see the following condition:
https://github.com/huggingface/transformers/blob/16f0b7d72c6d4e122957392c342b074aa2c5c519/src/transformers/models/marian/convert_marian_to_pytorch.py#L462

While training my Marian model, I do not want to tie my source and target embeddings.
How do I convert such a model? (This is a very common thing in NMT)

I see that in `MarianConfig` itself, this is not supported:
https://github.com/huggingface/transformers/blob/16f0b7d72c6d4e122957392c342b074aa2c5c519/src/transformers/models/marian/configuration_marian.py#L46-L49

Can this be considered a **feature request** to make it generic?

---

Also, why is the `hidden-dim` required to be `512` in the converter?
https://github.com/huggingface/transformers/blob/16f0b7d72c6d4e122957392c342b074aa2c5c519/src/transformers/models/marian/convert_marian_to_pytorch.py#L478

What if I train transformer-big models?",True,missing_expected_outcome|missing_constraint|not_testable|unsupported_external_assumption,major,rule_seeded
issue_030,poly_huggingface__transformers-15913,issue_statement,huggingface/transformers,Python,"CLIPProcessor with CLIPTokenizerFast
# 🚀 Feature request

Current `CLIPProcessor` doesn't support `CLIPTokenizerFast` requiring `CLIPTokenizer`.
In my thinking, there is no reason not to support `CLIPTokenizerFast` for `CLIPProcessor`

## Motivation

<!-- Please outline the motivation for the proposal. Is your feature request
     related to a problem? e.g., I'm always frustrated when [...]. If this is related
     to another GitHub issue, please link here too. -->

## Your contribution

https://github.com/huggingface/transformers/blob/v4.16.2/src/transformers/models/clip/processing_clip.py#L23

it may be easy by modifying upper python code. I think I can contribute.",True,missing_expected_outcome|missing_constraint|not_testable,major,rule_seeded
issue_031,poly_huggingface__transformers-19219,issue_statement,huggingface/transformers,Python,"HfArgumentParser support yaml parser
### Feature request

HfArgumentParser now supports for parsing dict and json files, will it be possible to support for parsing the widely used yaml files?

### Motivation

I think using yaml is a good way to record arguments.

### Your contribution

Not yet.",True,missing_trigger|missing_expected_outcome|missing_constraint|not_testable,major,rule_seeded
issue_032,poly_huggingface__transformers-19590,issue_statement,huggingface/transformers,Python,"Allow TFBertTokenizer to use Tensorflow text BertTokenizer (and not FastBertTokenizer) to make it servable by TF Serving
### Feature request

I would like to serve a bundle of Tokenizer + Model on TF Serving, but can't do it because TF Serving still have no support for TF FastBertTokenizer annd FastBertNormalize operations (https://github.com/tensorflow/serving/issues/2064).

It would be good if we could let [TFBertTokenizer ](https://github.com/huggingface/transformers/blob/4ed0fa3676ad8900eaa982a6c5c2ad6b75c8ea46/src/transformers/models/bert/tokenization_bert_tf.py) give the user an option not to use Tensorflow FastBertTokenizer when creating a TFBertTokenizer, so that it is servable on TFServing. 

It would consist of moving (or creating an option to change) this

https://github.com/huggingface/transformers/blob/4ed0fa3676ad8900eaa982a6c5c2ad6b75c8ea46/src/transformers/models/bert/tokenization_bert_tf.py#L67-L69

To this:
```python
# to avoid naming collision with transformers BertTokenizer
from tensorflow_text import BertTokenizer as TFBertTokenizerLayer

lookup_table = tf.lookup.StaticVocabularyTable(
    tf.lookup.KeyValueTensorInitializer(
        keys=vocab_list,
        ke
...[truncated]",True,missing_constraint,minor,rule_seeded
issue_033,poly_huggingface__transformers-20136,issue_statement,huggingface/transformers,Python,"Add image-guided object detection support to OWL-ViT
Hi,

The [OWL-ViT](https://huggingface.co/docs/transformers/model_doc/owlvit) model is an open-vocabulary model that can be used for both zero-shot text-guided (supported) and one-shot image-guided (not supported) object detection. 

It'd be great to add support for one-shot object detection to `OwlViTForObjectDetection` such that users can query images with an image of the target object instead of using text queries - e.g. using an image of a butterfly to search for all butterfly instances in the target image. See an example below.

<img width=""989"" alt=""Screenshot 2022-08-24 at 17 16 28"" src=""https://user-images.githubusercontent.com/8944735/186441941-7278676e-aecb-4c7d-b1d5-df4fb444becb.png"">

To do this, we would just need to compute and use the `OwlViTModel` (alias to CLIP) embeddings of the query images instead of the text query embeddings within `OwlViTForObjectDetection.forward()`, which would take the target image + either text queries or  image queries as input. Similarly, `OwlViTProcessor` would be updated to preprocess sets of (image, text) and (image, query_image).

@sgugger @NielsRogge @amyeroberts @LysandreJik what
...[truncated]",True,missing_expected_outcome,major,rule_seeded
issue_034,poly_huggingface__transformers-21345,issue_statement,huggingface/transformers,Python,"Add the pytorch implementation of the OpenAI GeLU approximation
### Feature request

Add support for the pytorch implementation of OpenAI's approximation of the GeLU function, added in pytorch 1.12. This implementation is equivalent to `gelu_new` or `gelu_fast` but much faster. It can come as a separate activation function, for example `gelu_new_python`, to avoid distrupting existing models.

### Motivation

Many transformer models use OpenAI's approximation (tanh) for the GeLU, through the activation function `gelu_new` or `gelu_fast`. These implementations are extremely slow (despite their name) because they consist of multiple operations/kernels (8 and 9 respectively). 

Since version 1.12, pytorch supports a single-kernel, C/cuda implementation through the argument `approximate='tanh'` ( https://pytorch.org/docs/stable/generated/torch.nn.GELU.html). This implementation is 6-10x faster than what currently exists in transformers, and is numerically equal up to rounding errors.

When benchmarking the inference speed of the [SantaCoder models](https://huggingface.co/bigcode/santacoder), I found that using the pytorch implementation allowed for an end-to-end speedup of ~15-20%.

I a
...[truncated]",True,missing_expected_outcome|not_testable,major,rule_seeded
issue_035,poly_huggingface__transformers-21768,issue_statement,huggingface/transformers,Python,"Make schedulers picklable
### Feature request

Change lambda functions passed to `LambdaLR` in `get_constant_schedule`, `get_constant_schedule_with_warmup`, `get_linear_schedule_with_warmup`, `get_cosine_schedule_with_warmup`, `get_cosine_with_hard_restarts_schedule_with_warmup` and `get_polynomial_decay_schedule_with_warmup` to callable objects.

### Motivation

Python cannot serialize lambda and local functions. Torch created a workaround around this in their `state_dict` method of `LambdaLR` by not returning any non-picklable functions:
```python
        ...
        for idx, fn in enumerate(self.lr_lambdas):
            if not isinstance(fn, types.FunctionType):
                state_dict['lr_lambdas'][idx] = fn.__dict__.copy()

        return state_dict
```
While this approach is fine when LR schedule is constant and deterministic, it makes it impossible to change the schedule mid training dynamically using lambda functions since any changes will not be saved to checkpoints.

In my particular case I wanted to implement a dynamic LR schedule based on evaluation metrics. I've implemented a wrapper around `LambdaLR` that applies transformation `fn: float -> float` to existing LR s
...[truncated]",False,,none,rule_seeded
issue_036,poly_huggingface__transformers-23126,issue_statement,huggingface/transformers,Python,"Support X | Y syntax on HfArgumentParser
### Feature request

[PEP-604](https://peps.python.org/pep-0604/) created the X | Y syntax on python 3.10, which is equivalent to Union[X, Y]. The use of this syntax is not supported by HfArgumentParser.  

### Motivation

With this syntax I would like to use something like:

```
@dataclass
class ModelArguments:

    some_argument: str | None = field(
        default=None,
        metadata={""help"": ""some argument""},
    )
```

Instead of:

```
@dataclass
class ModelArguments:

    some_argument: Optional[str] = field(
        default=None,
        metadata={""help"": ""some argument""},
    )
```

When trying to use the first one, it throws an error:

```
Traceback (most recent call last):
  File ""/home/jcanete/new-kd/kd/train.py"", line 299, in <module>
    main()
  File ""/home/jcanete/new-kd/kd/train.py"", line 160, in main
    parser = HfArgumentParser(
  File ""/home/jcanete/anaconda3/envs/venv/lib/python3.10/site-packages/transformers/hf_argparser.py"", line 73, in __init__
    self._add_dataclass_arguments(dtype)
  File ""/home/jcanete/anaconda3/envs/venv/lib/python3.10/site-packages/transformers/hf_argparser.py"", line 178, in _add_dataclass_ar
...[truncated]",False,,none,rule_seeded
issue_037,poly_coder__code-server-4597,issue_statement,coder/code-server,TypeScript,"release: 4.0.0
<!-- Maintainer: fill out the checklist -->

## Checklist

- [x] Assign to next release manager
- [x] Close previous release milestone
- [x] Create next release milestone
- [x] Associate issue with next release milestone",True,missing_constraint,minor,rule_seeded
issue_038,poly_coder__code-server-4678,issue_statement,coder/code-server,TypeScript,"release: 4.0.1
<!-- Maintainer: fill out the checklist -->

## Checklist

- [x] Assign to next release manager
- [x] Close previous release milestone
- [x] Create next release milestone
- [x] Associate issue with next release milestone",True,missing_constraint,minor,rule_seeded
