model,condition,defect_type,gold_support,predicted_count,tp,fp,fn,precision,recall,f1
granite3.2-vision:latest,rubric_guided,inconsistent_condition,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
granite3.2-vision:latest,rubric_guided,unsupported_external_assumption,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
granite3.2-vision:latest,zero_shot,ambiguous_term,32.0,71.0,3.0,68.0,29.0,0.04225352112676056,0.09375,0.05825242718446602
granite3.2-vision:latest,zero_shot,missing_actor,106.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0
granite3.2-vision:latest,zero_shot,missing_trigger,165.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0
granite3.2-vision:latest,zero_shot,missing_expected_outcome,47.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0
granite3.2-vision:latest,zero_shot,missing_constraint,34.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0
granite3.2-vision:latest,zero_shot,not_testable,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
granite3.2-vision:latest,zero_shot,overly_broad_requirement,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
granite3.2-vision:latest,zero_shot,inconsistent_condition,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
granite3.2-vision:latest,zero_shot,unsupported_external_assumption,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
llama3.2:3b,rubric_guided,ambiguous_term,32.0,483.0,17.0,466.0,15.0,0.035196687370600416,0.53125,0.06601941747572816
llama3.2:3b,rubric_guided,missing_actor,106.0,1.0,1.0,0.0,105.0,1.0,0.009433962264150943,0.018691588785046728
llama3.2:3b,rubric_guided,missing_trigger,165.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0
llama3.2:3b,rubric_guided,missing_expected_outcome,47.0,26.0,6.0,20.0,41.0,0.23076923076923078,0.1276595744680851,0.1643835616438356
llama3.2:3b,rubric_guided,missing_constraint,34.0,49.0,8.0,41.0,26.0,0.16326530612244897,0.23529411764705882,0.19277108433734938
llama3.2:3b,rubric_guided,not_testable,33.0,1.0,1.0,0.0,32.0,1.0,0.030303030303030304,0.05882352941176471
llama3.2:3b,rubric_guided,overly_broad_requirement,40.0,1.0,1.0,0.0,39.0,1.0,0.025,0.04878048780487806
llama3.2:3b,rubric_guided,inconsistent_condition,15.0,7.0,1.0,6.0,14.0,0.14285714285714285,0.06666666666666667,0.09090909090909091
llama3.2:3b,rubric_guided,unsupported_external_assumption,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
llama3.2:3b,zero_shot,ambiguous_term,32.0,501.0,20.0,481.0,12.0,0.03992015968063872,0.625,0.075046904315197
llama3.2:3b,zero_shot,missing_actor,106.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0
llama3.2:3b,zero_shot,missing_trigger,165.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0
llama3.2:3b,zero_shot,missing_expected_outcome,47.0,23.0,3.0,20.0,44.0,0.13043478260869565,0.06382978723404255,0.0857142857142857
llama3.2:3b,zero_shot,missing_constraint,34.0,43.0,8.0,35.0,26.0,0.18604651162790697,0.23529411764705882,0.2077922077922078
llama3.2:3b,zero_shot,not_testable,33.0,1.0,1.0,0.0,32.0,1.0,0.030303030303030304,0.05882352941176471
llama3.2:3b,zero_shot,overly_broad_requirement,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
llama3.2:3b,zero_shot,inconsistent_condition,15.0,7.0,2.0,5.0,13.0,0.2857142857142857,0.13333333333333333,0.18181818181818182
llama3.2:3b,zero_shot,unsupported_external_assumption,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
qwen2.5-coder:1.5b,rubric_guided,ambiguous_term,32.0,251.0,14.0,237.0,18.0,0.055776892430278883,0.4375,0.0989399293286219
qwen2.5-coder:1.5b,rubric_guided,missing_actor,106.0,166.0,8.0,158.0,98.0,0.04819277108433735,0.07547169811320754,0.058823529411764705
qwen2.5-coder:1.5b,rubric_guided,missing_trigger,165.0,171.0,30.0,141.0,135.0,0.17543859649122806,0.18181818181818182,0.17857142857142855
qwen2.5-coder:1.5b,rubric_guided,missing_expected_outcome,47.0,50.0,5.0,45.0,42.0,0.1,0.10638297872340426,0.10309278350515465
qwen2.5-coder:1.5b,rubric_guided,missing_constraint,34.0,67.0,6.0,61.0,28.0,0.08955223880597014,0.17647058823529413,0.1188118811881188
qwen2.5-coder:1.5b,rubric_guided,not_testable,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
qwen2.5-coder:1.5b,rubric_guided,overly_broad_requirement,40.0,1.0,0.0,1.0,40.0,0.0,0.0,0.0
qwen2.5-coder:1.5b,rubric_guided,inconsistent_condition,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
qwen2.5-coder:1.5b,rubric_guided,unsupported_external_assumption,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
qwen2.5-coder:1.5b,zero_shot,ambiguous_term,32.0,149.0,8.0,141.0,24.0,0.053691275167785234,0.25,0.08839779005524863
qwen2.5-coder:1.5b,zero_shot,missing_actor,106.0,219.0,9.0,210.0,97.0,0.0410958904109589,0.08490566037735849,0.055384615384615386
qwen2.5-coder:1.5b,zero_shot,missing_trigger,165.0,231.0,49.0,182.0,116.0,0.21212121212121213,0.296969696969697,0.2474747474747475
qwen2.5-coder:1.5b,zero_shot,missing_expected_outcome,47.0,55.0,5.0,50.0,42.0,0.09090909090909091,0.10638297872340426,0.09803921568627451
qwen2.5-coder:1.5b,zero_shot,missing_constraint,34.0,65.0,4.0,61.0,30.0,0.06153846153846154,0.11764705882352941,0.08080808080808081
qwen2.5-coder:1.5b,zero_shot,not_testable,33.0,1.0,0.0,1.0,33.0,0.0,0.0,0.0
qwen2.5-coder:1.5b,zero_shot,overly_broad_requirement,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
qwen2.5-coder:1.5b,zero_shot,inconsistent_condition,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
qwen2.5-coder:1.5b,zero_shot,unsupported_external_assumption,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
qwen2.5-coder:14b,rubric_guided,ambiguous_term,32.0,26.0,0.0,26.0,32.0,0.0,0.0,0.0
qwen2.5-coder:14b,rubric_guided,missing_actor,106.0,1.0,1.0,0.0,105.0,1.0,0.009433962264150943,0.018691588785046728
qwen2.5-coder:14b,rubric_guided,missing_trigger,165.0,52.0,39.0,13.0,126.0,0.75,0.23636363636363636,0.35944700460829493
qwen2.5-coder:14b,rubric_guided,missing_expected_outcome,47.0,75.0,9.0,66.0,38.0,0.12,0.19148936170212766,0.14754098360655737
qwen2.5-coder:14b,rubric_guided,missing_constraint,34.0,6.0,1.0,5.0,33.0,0.16666666666666666,0.029411764705882353,0.05
qwen2.5-coder:14b,rubric_guided,not_testable,33.0,1.0,1.0,0.0,32.0,1.0,0.030303030303030304,0.05882352941176471
qwen2.5-coder:14b,rubric_guided,overly_broad_requirement,40.0,24.0,12.0,12.0,28.0,0.5,0.3,0.37499999999999994
qwen2.5-coder:14b,rubric_guided,inconsistent_condition,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
qwen2.5-coder:14b,rubric_guided,unsupported_external_assumption,15.0,1.0,0.0,1.0,15.0,0.0,0.0,0.0
qwen2.5-coder:14b,zero_shot,ambiguous_term,32.0,24.0,0.0,24.0,32.0,0.0,0.0,0.0
qwen2.5-coder:14b,zero_shot,missing_actor,106.0,1.0,1.0,0.0,105.0,1.0,0.009433962264150943,0.018691588785046728
qwen2.5-coder:14b,zero_shot,missing_trigger,165.0,40.0,28.0,12.0,137.0,0.7,0.1696969696969697,0.2731707317073171
qwen2.5-coder:14b,zero_shot,missing_expected_outcome,47.0,63.0,11.0,52.0,36.0,0.1746031746031746,0.23404255319148937,0.2
qwen2.5-coder:14b,zero_shot,missing_constraint,34.0,1.0,0.0,1.0,34.0,0.0,0.0,0.0
qwen2.5-coder:14b,zero_shot,not_testable,33.0,1.0,1.0,0.0,32.0,1.0,0.030303030303030304,0.05882352941176471
qwen2.5-coder:14b,zero_shot,overly_broad_requirement,40.0,24.0,12.0,12.0,28.0,0.5,0.3,0.37499999999999994
qwen2.5-coder:14b,zero_shot,inconsistent_condition,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
qwen2.5-coder:14b,zero_shot,unsupported_external_assumption,15.0,1.0,0.0,1.0,15.0,0.0,0.0,0.0
qwen2.5-coder:3b,rubric_guided,ambiguous_term,32.0,1.0,0.0,1.0,32.0,0.0,0.0,0.0
qwen2.5-coder:3b,rubric_guided,missing_actor,106.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0
qwen2.5-coder:3b,rubric_guided,missing_trigger,165.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0
qwen2.5-coder:3b,rubric_guided,missing_expected_outcome,47.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0
qwen2.5-coder:3b,rubric_guided,missing_constraint,34.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0
qwen2.5-coder:3b,rubric_guided,not_testable,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
qwen2.5-coder:3b,rubric_guided,overly_broad_requirement,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
qwen2.5-coder:3b,rubric_guided,inconsistent_condition,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
qwen2.5-coder:3b,rubric_guided,unsupported_external_assumption,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
qwen2.5-coder:3b,zero_shot,ambiguous_term,32.0,1.0,0.0,1.0,32.0,0.0,0.0,0.0
qwen2.5-coder:3b,zero_shot,missing_actor,106.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0
qwen2.5-coder:3b,zero_shot,missing_trigger,165.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0
qwen2.5-coder:3b,zero_shot,missing_expected_outcome,47.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0
qwen2.5-coder:3b,zero_shot,missing_constraint,34.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0
qwen2.5-coder:3b,zero_shot,not_testable,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
qwen2.5-coder:3b,zero_shot,overly_broad_requirement,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
qwen2.5-coder:3b,zero_shot,inconsistent_condition,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
qwen2.5-coder:3b,zero_shot,unsupported_external_assumption,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
qwen2.5-coder:7b,rubric_guided,ambiguous_term,32.0,78.0,3.0,75.0,29.0,0.038461538461538464,0.09375,0.05454545454545455
qwen2.5-coder:7b,rubric_guided,missing_actor,106.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0
qwen2.5-coder:7b,rubric_guided,missing_trigger,165.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0
qwen2.5-coder:7b,rubric_guided,missing_expected_outcome,47.0,4.0,2.0,2.0,45.0,0.5,0.0425531914893617,0.0784313725490196
qwen2.5-coder:7b,rubric_guided,missing_constraint,34.0,2.0,0.0,2.0,34.0,0.0,0.0,0.0
qwen2.5-coder:7b,rubric_guided,not_testable,33.0,3.0,1.0,2.0,32.0,0.3333333333333333,0.030303030303030304,0.05555555555555555
qwen2.5-coder:7b,rubric_guided,overly_broad_requirement,40.0,12.0,12.0,0.0,28.0,1.0,0.3,0.4615384615384615
qwen2.5-coder:7b,rubric_guided,inconsistent_condition,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
qwen2.5-coder:7b,rubric_guided,unsupported_external_assumption,15.0,5.0,0.0,5.0,15.0,0.0,0.0,0.0
qwen2.5-coder:7b,zero_shot,ambiguous_term,32.0,97.0,2.0,95.0,30.0,0.020618556701030927,0.0625,0.031007751937984496
qwen2.5-coder:7b,zero_shot,missing_actor,106.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0
qwen2.5-coder:7b,zero_shot,missing_trigger,165.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0
qwen2.5-coder:7b,zero_shot,missing_expected_outcome,47.0,6.0,1.0,5.0,46.0,0.16666666666666666,0.02127659574468085,0.03773584905660377
qwen2.5-coder:7b,zero_shot,missing_constraint,34.0,3.0,0.0,3.0,34.0,0.0,0.0,0.0
qwen2.5-coder:7b,zero_shot,not_testable,33.0,2.0,1.0,1.0,32.0,0.5,0.030303030303030304,0.05714285714285715
qwen2.5-coder:7b,zero_shot,overly_broad_requirement,40.0,12.0,12.0,0.0,28.0,1.0,0.3,0.4615384615384615
qwen2.5-coder:7b,zero_shot,inconsistent_condition,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
qwen2.5-coder:7b,zero_shot,unsupported_external_assumption,15.0,5.0,0.0,5.0,15.0,0.0,0.0,0.0
qwen2.5:3b,rubric_guided,ambiguous_term,32.0,51.0,5.0,46.0,27.0,0.09803921568627451,0.15625,0.12048192771084337
qwen2.5:3b,rubric_guided,missing_actor,106.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0
qwen2.5:3b,rubric_guided,missing_trigger,165.0,2.0,0.0,2.0,165.0,0.0,0.0,0.0
qwen2.5:3b,rubric_guided,missing_expected_outcome,47.0,4.0,3.0,1.0,44.0,0.75,0.06382978723404255,0.11764705882352941
qwen2.5:3b,rubric_guided,missing_constraint,34.0,2.0,0.0,2.0,34.0,0.0,0.0,0.0
qwen2.5:3b,rubric_guided,not_testable,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
qwen2.5:3b,rubric_guided,overly_broad_requirement,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
qwen2.5:3b,rubric_guided,inconsistent_condition,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
qwen2.5:3b,rubric_guided,unsupported_external_assumption,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
qwen2.5:3b,zero_shot,ambiguous_term,32.0,38.0,6.0,32.0,26.0,0.15789473684210525,0.1875,0.17142857142857143
qwen2.5:3b,zero_shot,missing_actor,106.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0
qwen2.5:3b,zero_shot,missing_trigger,165.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0
qwen2.5:3b,zero_shot,missing_expected_outcome,47.0,2.0,2.0,0.0,45.0,1.0,0.0425531914893617,0.08163265306122448
qwen2.5:3b,zero_shot,missing_constraint,34.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0
qwen2.5:3b,zero_shot,not_testable,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
qwen2.5:3b,zero_shot,overly_broad_requirement,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
qwen2.5:3b,zero_shot,inconsistent_condition,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
qwen2.5:3b,zero_shot,unsupported_external_assumption,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
qwen2.5vl:3b,rubric_guided,ambiguous_term,32.0,558.0,29.0,529.0,3.0,0.05197132616487455,0.90625,0.0983050847457627
qwen2.5vl:3b,rubric_guided,missing_actor,106.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0
qwen2.5vl:3b,rubric_guided,missing_trigger,165.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0
qwen2.5vl:3b,rubric_guided,missing_expected_outcome,47.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0
qwen2.5vl:3b,rubric_guided,missing_constraint,34.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0
qwen2.5vl:3b,rubric_guided,not_testable,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
qwen2.5vl:3b,rubric_guided,overly_broad_requirement,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
qwen2.5vl:3b,rubric_guided,inconsistent_condition,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
qwen2.5vl:3b,rubric_guided,unsupported_external_assumption,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
qwen2.5vl:3b,zero_shot,ambiguous_term,32.0,572.0,30.0,542.0,2.0,0.05244755244755245,0.9375,0.09933774834437085
qwen2.5vl:3b,zero_shot,missing_actor,106.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0
qwen2.5vl:3b,zero_shot,missing_trigger,165.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0
qwen2.5vl:3b,zero_shot,missing_expected_outcome,47.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0
qwen2.5vl:3b,zero_shot,missing_constraint,34.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0
qwen2.5vl:3b,zero_shot,not_testable,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
qwen2.5vl:3b,zero_shot,overly_broad_requirement,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
qwen2.5vl:3b,zero_shot,inconsistent_condition,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
qwen2.5vl:3b,zero_shot,unsupported_external_assumption,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
qwen3:4b,rubric_guided,ambiguous_term,32.0,381.0,15.0,366.0,17.0,0.03937007874015748,0.46875,0.07263922518159806
qwen3:4b,rubric_guided,missing_actor,106.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0
qwen3:4b,rubric_guided,missing_trigger,165.0,3.0,3.0,0.0,162.0,1.0,0.01818181818181818,0.03571428571428572
qwen3:4b,rubric_guided,missing_expected_outcome,47.0,30.0,1.0,29.0,46.0,0.03333333333333333,0.02127659574468085,0.025974025974025972
qwen3:4b,rubric_guided,missing_constraint,34.0,4.0,1.0,3.0,33.0,0.25,0.029411764705882353,0.05263157894736842
qwen3:4b,rubric_guided,not_testable,33.0,21.0,3.0,18.0,30.0,0.14285714285714285,0.09090909090909091,0.1111111111111111
qwen3:4b,rubric_guided,overly_broad_requirement,40.0,10.0,8.0,2.0,32.0,0.8,0.2,0.32000000000000006
qwen3:4b,rubric_guided,inconsistent_condition,15.0,4.0,0.0,4.0,15.0,0.0,0.0,0.0
qwen3:4b,rubric_guided,unsupported_external_assumption,15.0,1.0,0.0,1.0,15.0,0.0,0.0,0.0
qwen3:4b,zero_shot,ambiguous_term,32.0,369.0,13.0,356.0,19.0,0.03523035230352303,0.40625,0.06483790523690773
qwen3:4b,zero_shot,missing_actor,106.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0
qwen3:4b,zero_shot,missing_trigger,165.0,2.0,2.0,0.0,163.0,1.0,0.012121212121212121,0.02395209580838323
qwen3:4b,zero_shot,missing_expected_outcome,47.0,33.0,6.0,27.0,41.0,0.18181818181818182,0.1276595744680851,0.14999999999999997
qwen3:4b,zero_shot,missing_constraint,34.0,4.0,0.0,4.0,34.0,0.0,0.0,0.0
qwen3:4b,zero_shot,not_testable,33.0,52.0,7.0,45.0,26.0,0.1346153846153846,0.21212121212121213,0.16470588235294117
qwen3:4b,zero_shot,overly_broad_requirement,40.0,11.0,7.0,4.0,33.0,0.6363636363636364,0.175,0.27450980392156865
qwen3:4b,zero_shot,inconsistent_condition,15.0,9.0,3.0,6.0,12.0,0.3333333333333333,0.2,0.25
qwen3:4b,zero_shot,unsupported_external_assumption,15.0,1.0,0.0,1.0,15.0,0.0,0.0,0.0
